id;name;type;sex;party;party 2;party 3;age
1;Politik;2;NA;1;NA;NA;NA
2;Verband;2;NA;2;NA;NA;NA
3;Gewerkschaft;2;NA;3;NA;NA;NA
4;Umweltschutz;2;NA;4;NA;NA;NA
5;Industrie;2;NA;5;NA;NA;NA
6;Energieunternehmen;2;NA;6;NA;NA;NA
7;Wissenschaft;2;NA;7;NA;NA;NA
8;Regionalvertreter;2;NA;8;NA;NA;NA
9;CDU;2;NA;9;NA;NA;NA
10;CSU;2;NA;10;NA;NA;NA
11;SPD;2;NA;11;NA;NA;NA
12;Gruene;2;NA;12;NA;NA;NA
Platzeck;Matthias Platzeck;1;2;1;11;NA;5
Pofalla;Ronald Pofalla;1;2;1;9;5;4
Praetorius;Barbara Praetorius;1;1;7;NA;NA;NA
Tillich;Stanislaw Tillich;1;2;1;9;NA;4
Hasselfeldt;Gerda Hasselfeldt;1;1;2;10;NA;5
Kampeter;Steffen Kampeter;1;2;2;9;NA;4
Kapferer;Stefan Kapferer;1;2;2;1;NA;4
Kempf;Dieter Kempf;1;2;2;NA;NA;5
Nemat;Claudia Nemat;1;1;5;NA;NA;4
Reiche;Katherina Reiche;1;1;2;9;NA;3
Roestel;Gunda Roestel;1;1;6;12;NA;4
Schweitzer;Eric Schweitzer;1;2;2;5;1;4
Grothus;Antje Grothus;1;1;8;4;NA;4
Wodtke;Hannelore Wodtke;1;1;9;4;NA;NA
Herntier;Christine Herntier;1;1;8;NA;NA;5
Kreuzberg;Michael Kreuzberg;1;2;9;8;NA;5
Priggen;Reiner Priggen;1;2;12;2;NA;5
Vassiliadis;Michael Vassiliadis;1;2;3;11;NA;4
Scheidt;Andreas Scheidt;1;2;3;11;6;4
Koerzell;Stefan Koerzell;1;2;3;11;NA;4
Kaiser;Martin Kaiser;1;2;4;NA;NA;4
Weiger;Hubert Weiger;1;2;4;NA;NA;6
Niebert;Kai Niebert;1;2;4;NA;NA;2
Allmendinger;Jutta Allmendinger;1;1;7;NA;NA;5
Matthes;Felix Matthes;1;2;7;NA;NA;4
Schellnhuber;Hans Joachim Schellnhuber;1;2;7;NA;NA;5
Niebuhr;Annekathrin Nieburh;1;1;7;NA;NA;NA
Wehrspohn;Ralf Wehrspohn;1;2;7;NA;NA;3
Laemmel;Andreas Laemmel;1;2;9;NA;NA;4
Lenz;Andreas Lenz;1;2;10;NA;NA;2
Miersch;Matthias Miersch;1;2;11;NA;NA;3
